"","age","job_admin.","job_blue-collar","job_entrepreneur","job_housemaid","job_management","job_retired","job_self-employed","job_services","job_student","job_technician","job_unemployed","job_unknown","marital_divorced","marital_married","marital_single","marital_unknown","education_Basic","education_high.school","education_illiterate","education_professional.course","education_university.degree","education_unknown","default_no","default_unknown","default_yes","housing_no","housing_unknown","housing_yes","loan_no","loan_unknown","loan_yes","contact_cellular","contact_telephone","month_apr","month_aug","month_dec","month_jul","month_jun","month_mar","month_may","month_nov","month_oct","month_sep","day_of_week_fri","day_of_week_mon","day_of_week_thu","day_of_week_tue","day_of_week_wed","duration","campaign","pdays","previous","poutcome_failure","poutcome_nonexistent","poutcome_success","emp_var_rate","cons_price_idx","cons_conf_idx","euribor3m","nr_employed","y","logit_Predictions"
"128",43,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,145,2,999,0,0,1,0,1.4,93.444,-36.1,4.965,5228.1,0,0
"132",35,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,184,2,999,0,0,1,0,1.1,93.994,-36.4,4.857,5191,0,0
"136",29,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,14,5,999,1,1,0,0,-1.8,92.893,-46.2,1.313,5099.1,0,0
"141",42,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,206,1,999,0,0,1,0,1.1,93.994,-36.4,4.857,5191,0,0
"143",55,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,157,2,999,0,0,1,0,-0.1,93.2,-42,4.153,5195.8,0,0
"146",42,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,58,1,999,1,1,0,0,-0.1,93.2,-42,4.021,5195.8,0,0
"149",38,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,311,3,999,0,0,1,0,1.4,93.918,-42.7,4.963,5228.1,0,0
"153",40,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,106,4,999,0,0,1,0,1.4,93.918,-42.7,4.968,5228.1,0,0
"155",31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,350,7,999,0,0,1,0,1.4,94.465,-41.8,4.962,5228.1,0,0
"160",38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,82,2,999,0,0,1,0,-2.9,92.469,-33.6,0.914,5076.2,0,0
"164",27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,120,1,999,0,0,1,0,1.4,93.918,-42.7,4.961,5228.1,0,0
"165",44,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,123,1,999,0,0,1,0,1.4,94.465,-41.8,4.865,5228.1,0,0
"169",64,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,252,4,999,0,0,1,0,-2.9,92.201,-31.4,0.849,5076.2,1,0
"171",42,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,191,4,999,0,0,1,0,1.1,93.994,-36.4,4.856,5191,0,0
"173",40,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1776,3,999,0,0,1,0,1.4,93.918,-42.7,4.963,5228.1,0,1
"175",31,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,237,2,999,0,0,1,0,1.1,93.994,-36.4,4.86,5191,0,0
"187",45,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,223,1,999,0,0,1,0,1.1,93.994,-36.4,4.857,5191,0,0
"191",58,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,180,4,999,0,0,1,0,1.4,93.918,-42.7,4.962,5228.1,0,0
"192",32,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,123,4,999,0,0,1,0,1.4,93.918,-42.7,4.961,5228.1,0,0
"195",29,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,108,4,999,0,0,1,0,-1.8,92.893,-46.2,1.266,5099.1,0,0
"196",51,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,16,17,999,0,0,1,0,1.4,94.465,-41.8,4.962,5228.1,0,0
"197",36,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,45,8,999,0,0,1,0,1.4,93.444,-36.1,4.962,5228.1,0,0
"198",23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,122,1,999,0,0,1,0,-1.8,93.075,-47.1,1.392,5099.1,1,0
"199",31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,72,1,999,0,0,1,0,1.4,93.444,-36.1,4.965,5228.1,0,0
"200",32,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,107,2,999,0,0,1,0,1.4,93.918,-42.7,4.963,5228.1,0,0
"204",43,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,319,4,3,2,0,0,1,-2.9,92.201,-31.4,0.873,5076.2,0,1
"205",48,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,427,3,999,0,0,1,0,1.1,93.994,-36.4,4.859,5191,0,0
"211",50,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,258,1,999,1,1,0,0,-3.4,92.431,-26.9,0.754,5017.5,0,0
"224",30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,83,1,999,2,1,0,0,-2.9,92.201,-31.4,0.881,5076.2,0,0
"225",46,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,79,1,999,0,0,1,0,-1.8,93.075,-47.1,1.405,5099.1,0,0
"231",31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,73,1,999,0,0,1,0,-1.8,92.893,-46.2,1.25,5099.1,0,0
"233",34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,439,2,999,0,0,1,0,1.4,93.918,-42.7,4.961,5228.1,0,0
"234",48,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,262,1,999,0,0,1,0,1.4,93.444,-36.1,4.968,5228.1,0,0
"235",30,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,136,1,999,0,0,1,0,1.4,93.444,-36.1,4.963,5228.1,0,0
"245",54,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,102,1,999,0,0,1,0,1.1,93.994,-36.4,4.857,5191,0,0
"250",32,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,209,1,999,0,0,1,0,-1.8,92.893,-46.2,1.313,5099.1,0,0
"254",38,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,451,2,999,0,0,1,0,1.1,93.994,-36.4,4.86,5191,0,0
"256",49,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,24,1,999,0,0,1,0,1.1,93.994,-36.4,4.857,5191,0,0
"258",37,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,54,2,999,0,0,1,0,-1.8,93.075,-47.1,1.405,5099.1,0,0
"262",35,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,215,1,999,0,0,1,0,-1.8,92.893,-46.2,1.299,5099.1,0,0
"264",41,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,233,2,999,0,0,1,0,-1.8,92.893,-46.2,1.334,5099.1,0,0
"267",57,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,50,2,999,0,0,1,0,1.1,93.994,-36.4,4.864,5191,0,0
"270",27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,64,2,999,1,1,0,0,-1.8,92.893,-46.2,1.354,5099.1,0,0
"277",45,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,508,1,999,0,0,1,0,1.4,93.918,-42.7,4.957,5228.1,0,0
"278",49,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,410,1,999,0,0,1,0,1.1,93.994,-36.4,4.857,5191,0,0
"280",56,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,52,2,999,0,0,1,0,1.1,93.994,-36.4,4.857,5191,0,0
"300",25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,81,3,999,0,0,1,0,1.4,93.918,-42.7,4.968,5228.1,0,0
"302",55,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,123,2,999,0,0,1,0,-1.8,92.893,-46.2,1.264,5099.1,0,0
"303",37,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,313,1,999,0,0,1,0,1.1,93.994,-36.4,4.857,5191,0,0
"306",59,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,571,1,999,0,0,1,0,1.1,93.994,-36.4,4.857,5191,0,0
"307",37,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,131,1,999,0,0,1,0,-3.4,92.431,-26.9,0.73,5017.5,0,0
