"","price","speed","hd","ram","screen","ads","trend","pc_cluster_2$cluster"
"150",3895,66,500,8,15,95,2,6
"151",2095,33,250,4,15,95,2,8
"152",2225,33,250,8,15,95,2,8
"153",3599,66,330,8,14,95,2,6
"154",2075,33,250,8,14,95,2,8
"155",2499,33,212,8,14,95,2,8
"156",2575,66,250,8,15,95,2,6
"157",2999,50,170,4,14,95,2,6
"158",2195,33,170,8,15,95,2,8
"159",3065,50,250,4,17,95,2,2
"160",3399,66,230,4,15,95,2,6
"161",1995,33,130,4,14,95,2,8
"162",1595,25,170,4,15,95,2,8
"163",2645,50,250,4,15,95,2,6
"164",2345,50,250,8,14,95,2,8
"165",2795,33,340,16,14,95,2,6
"166",1895,25,130,4,14,95,2,8
"167",2495,50,245,8,14,95,2,6
"168",2599,50,210,4,14,95,2,8
"169",1595,33,85,2,14,95,2,8
"170",1999,33,120,8,14,95,2,8
"171",2425,66,250,8,14,95,2,6
"172",2495,33,250,8,15,95,2,8
"173",1795,33,170,4,15,95,2,8
"174",2744,66,245,8,14,95,2,6
"175",3795,33,452,8,14,95,2,6
"176",2745,66,250,4,15,95,2,6
"177",2399,50,212,4,14,95,2,8
"178",2645,33,250,8,17,95,2,2
"179",1945,33,170,4,14,95,2,8
"180",1695,50,85,2,14,95,2,8
"181",2195,50,170,4,14,95,2,8
"182",2815,33,250,4,17,95,2,2
"183",1899,25,120,4,14,95,2,8
"184",2644,50,245,8,14,95,2,6
"185",3795,66,500,8,14,95,2,6
"186",2395,33,245,8,14,95,2,8
"187",1695,33,170,4,14,95,2,8
"188",2575,66,250,8,14,95,2,6
"189",2695,33,340,16,14,95,2,6
"190",2999,66,245,16,15,100,3,6
"191",1899,33,170,4,14,100,3,8
"192",2499,50,210,4,14,100,3,8
"193",1999,33,213,8,14,100,3,8
"194",2055,50,170,4,14,100,3,8
"195",2065,50,170,4,14,100,3,8
"196",2055,33,250,8,14,100,3,8
"197",2099,33,212,4,14,100,3,8
"198",1995,33,130,4,14,100,3,8
"199",2220,33,250,4,14,100,3,8
"200",3220,66,340,8,15,100,3,6
"201",3995,66,452,8,14,100,3,6
"202",2785,33,250,8,17,100,3,2
"203",2475,50,250,8,15,100,3,6
"204",1499,25,170,4,14,100,3,8
"205",1595,33,85,2,14,100,3,8
"206",2099,66,120,4,14,100,3,8
"207",2885,66,170,8,15,100,3,6
"208",3795,33,452,8,14,100,3,6
"209",2295,66,170,4,14,100,3,8
"210",3895,66,500,8,15,100,3,6
"211",2395,33,245,8,14,100,3,8
"212",3135,66,250,8,17,100,3,2
"213",2420,33,170,8,15,100,3,8
"214",2125,66,170,4,14,100,3,8
"215",2985,66,250,8,17,100,3,2
"216",1395,25,85,2,14,100,3,8
"217",2295,33,245,8,14,100,3,8
"218",2095,33,130,4,14,100,3,8
"219",2795,33,340,16,14,100,3,6
"220",1945,33,170,4,14,100,3,8
"221",2635,33,250,8,17,100,3,2
"222",2695,66,250,8,15,100,3,6
"223",2199,50,213,8,14,100,3,8
"224",3895,50,452,8,14,100,3,6
"225",2599,50,212,8,14,100,3,6
"226",2745,66,170,8,14,100,3,6
"227",1920,33,170,4,14,100,3,8
"228",2895,50,340,16,14,100,3,6
"229",2199,33,210,4,14,100,3,8
"230",2915,50,250,8,17,100,3,2
"231",1999,33,120,8,14,100,3,8
"232",2720,33,250,8,15,100,3,6
"233",1999,33,170,4,14,100,3,8
"234",2195,33,170,8,15,100,3,8
"235",2195,25,245,8,14,100,3,8
"236",2295,66,130,4,14,100,3,8
"237",1595,25,170,4,15,100,3,8
"238",1695,33,170,4,14,100,3,8
"239",1495,25,170,4,14,100,3,8
"240",3795,66,500,8,14,100,3,6
"241",1699,33,120,4,14,100,3,8
"242",1895,25,130,4,14,100,3,8
"243",2335,50,250,8,14,100,3,8
"244",2495,50,245,8,14,100,3,6
"245",2575,66,250,8,14,100,3,6
"246",2495,33,250,8,15,100,3,8
"247",3299,66,245,16,15,100,3,6
"248",2699,66,213,8,14,100,3,6
"249",1695,50,85,2,14,100,3,8
"250",2999,66,170,4,14,100,3,6
"251",2399,66,213,8,14,100,3,6
"252",1499,25,170,4,14,100,3,8
"253",2395,33,170,8,14,100,3,8
"254",1720,25,170,4,14,100,3,8
"255",1495,33,85,2,14,100,3,8
"256",2399,66,120,4,14,100,3,8
"257",3035,50,250,8,17,100,3,2
"258",2449,33,230,4,14,100,3,8
"259",1775,33,170,4,14,100,3,8
"260",2599,33,245,16,15,100,3,6
"261",2995,66,340,8,15,100,3,6
"262",2345,33,250,8,15,100,3,8
"263",2535,33,170,8,15,100,3,8
"264",2345,50,250,8,14,100,3,8
"265",1899,50,120,4,14,100,3,8
"266",2195,50,130,4,14,100,3,8
"267",2645,50,170,8,14,100,3,6
"268",2785,50,170,8,15,100,3,6
"269",2799,50,245,16,15,100,3,6
"270",2999,66,340,4,15,100,3,6
"271",2095,33,250,4,15,100,3,8
"272",4020,66,500,8,14,100,3,6
"273",2595,50,250,8,15,100,3,6
"274",2695,33,340,16,14,100,3,6
"275",2195,33,250,8,15,100,3,8
"276",2995,66,340,16,14,100,3,6
"277",2195,50,170,4,14,100,3,8
"278",2399,33,212,8,14,100,3,8
"279",2405,66,250,8,14,100,3,6
"280",1795,66,85,2,14,100,3,8
"281",2225,33,250,8,14,100,3,8
"282",1995,33,250,4,14,100,3,8
"283",2299,50,212,4,14,100,3,8
"284",1795,33,170,4,15,100,3,8
"285",2545,66,250,8,15,100,3,6
"286",2595,66,245,8,14,100,3,6
"287",1399,25,170,4,14,100,3,8
"288",2475,50,250,8,14,100,3,6
"289",2595,25,340,16,14,100,3,6
"290",1695,50,85,2,14,108,4,8
"291",3995,66,452,8,14,108,4,6
"292",2999,66,240,4,15,108,4,6
"293",2495,50,245,8,14,108,4,6
"294",2455,66,250,8,14,108,4,6
"295",2299,50,212,4,14,108,4,8
"296",2690,25,340,16,14,108,4,6
"297",2155,33,250,8,14,108,4,8
"298",2890,33,340,16,14,108,4,6
"299",1899,33,170,4,14,108,4,8
"300",1595,25,170,4,14,108,4,8
"301",1990,25,130,4,14,108,4,8
"302",1895,25,130,4,14,108,4,8
"303",1895,33,170,4,14,108,4,8
"304",2799,50,245,16,15,108,4,6
"305",2590,50,245,8,14,108,4,6
"306",1499,25,170,4,14,108,4,8
"307",2955,50,250,8,17,108,4,2
"308",2285,50,250,8,14,108,4,8
"309",2475,50,250,8,15,108,4,6
"310",3795,33,452,8,14,108,4,6
"311",1999,33,213,8,14,108,4,8
"312",2599,50,212,8,14,108,4,6
"313",2895,50,340,16,14,108,4,6
"314",3895,50,452,8,14,108,4,6
"315",2695,66,250,8,14,108,4,6
"316",1995,50,170,4,14,108,4,8
"317",2399,66,120,4,14,108,4,8
"318",2605,33,250,8,17,108,4,2
"319",2335,66,250,8,14,108,4,6
"320",2195,66,170,4,14,108,4,8
"321",2425,66,250,8,15,108,4,6
"322",2995,66,340,16,14,108,4,6
"323",2599,33,245,16,15,108,4,6
"324",2390,33,245,8,14,108,4,8
"325",1690,33,85,2,14,108,4,8
"326",1495,33,85,2,14,108,4,8
"327",2395,33,250,8,14,108,4,8
"328",2099,33,212,4,14,108,4,8
"329",3090,66,340,16,14,108,4,6
"330",2599,33,240,4,15,108,4,8
"331",1999,33,170,4,14,108,4,8
"332",2195,50,130,4,14,108,4,8
"333",2190,33,130,4,14,108,4,8
"334",2025,50,170,4,14,108,4,8
"335",1699,33,120,4,14,108,4,8
"336",2790,33,340,16,14,108,4,6
"337",1795,33,170,4,14,108,4,8
"338",2990,50,340,16,14,108,4,6
"339",2905,66,250,8,17,108,4,2
"340",2825,33,250,8,17,108,4,2
"341",2390,66,130,4,14,108,4,8
"342",2699,66,213,8,14,108,4,6
"343",2995,66,340,8,15,108,4,6
"344",1590,33,85,2,14,108,4,8
"345",2345,33,250,8,15,108,4,8
"346",2199,50,213,8,14,108,4,8
"347",2290,50,130,4,14,108,4,8
"348",2595,50,250,8,15,108,4,6
"349",2515,33,250,8,15,108,4,8
"350",2145,50,170,4,14,108,4,8
"351",2405,50,250,8,14,108,4,6
"352",2525,50,250,8,14,108,4,6
"353",2595,50,250,8,15,108,4,6
"354",2090,33,130,4,14,108,4,8
"355",2075,66,170,4,14,108,4,8
"356",2799,50,240,4,15,108,4,6
"357",3299,66,245,16,15,108,4,6
"358",2645,66,250,8,15,108,4,6
"359",3125,66,250,8,17,108,4,2
"360",2295,33,245,8,14,108,4,8
"361",1775,33,170,4,14,108,4,8
"362",2095,33,130,4,14,108,4,8
"363",2155,50,250,8,14,108,4,8
"364",3075,50,250,8,17,108,4,2
"365",2815,66,250,8,15,108,4,6
"366",1599,25,170,4,14,108,4,8
"367",2099,33,120,4,14,108,4,8
"368",2645,50,250,8,15,108,4,6
"369",1795,66,85,2,14,108,4,8
"370",2035,33,250,8,14,108,4,8
"371",2490,33,245,8,14,108,4,8
"372",3225,66,212,4,15,108,4,6
"373",2690,66,245,8,14,108,4,6
"374",2195,25,245,8,14,108,4,8
"375",1890,66,85,2,14,108,4,8
"376",1995,33,130,4,14,108,4,8
"377",2695,33,340,16,14,108,4,6
"378",2595,25,340,16,14,108,4,6
"379",1595,33,85,2,14,108,4,8
"380",1490,25,85,2,14,108,4,8
"381",2125,33,250,8,15,108,4,8
"382",2399,66,213,8,14,108,4,6
"383",2795,33,340,16,14,108,4,6
"384",2290,25,245,8,14,108,4,8
"385",2395,33,245,8,14,108,4,8
"386",2399,33,212,8,14,108,4,8
"387",1790,50,85,2,14,108,4,8
"388",2099,66,120,4,14,108,4,8
"389",1395,25,85,2,14,108,4,8
"390",1895,50,170,4,14,108,4,8
"391",2295,66,130,4,14,108,4,8
"392",2595,66,245,8,14,108,4,6
"393",1899,50,120,4,14,108,4,8
"394",1399,25,170,4,14,108,4,8
"395",2999,66,170,4,14,108,4,6
"396",2999,66,245,16,15,108,4,6
"397",2449,33,230,4,14,108,4,8
"398",1795,33,170,4,14,139,5,8
"399",1899,33,212,4,14,139,5,8
"400",2395,33,340,8,14,139,5,8
"401",2399,50,320,8,14,139,5,6
"402",1595,33,170,4,14,139,5,8
"403",2490,33,340,8,14,139,5,8
"404",2995,66,452,16,14,139,5,6
"405",2890,33,452,16,14,139,5,6
"406",2190,33,214,4,15,139,5,8
"407",2399,66,213,8,14,139,5,6
"408",2285,50,250,8,14,139,5,8
"409",2590,33,340,8,15,139,5,6
"410",2795,33,452,16,14,139,5,6
"411",1495,33,170,4,14,139,5,8
"412",2075,66,170,4,14,139,5,8
"413",2090,33,214,4,15,139,5,8
"414",2195,33,250,8,15,139,5,8
"415",3999,66,340,16,17,139,5,2
"416",1699,33,120,4,14,139,5,8
"417",1995,33,250,8,14,139,5,8
"418",1690,33,107,2,14,139,5,8
"419",3495,33,452,8,14,139,5,6
"420",2195,66,170,4,14,139,5,8
"421",3090,66,452,16,14,139,5,6
"422",2690,25,452,16,14,139,5,6
"423",1895,25,214,4,14,139,5,8
"424",2495,50,250,8,15,139,5,6
"425",2405,50,250,8,14,139,5,6
"426",1595,33,107,2,14,139,5,8
"427",2890,33,452,16,15,139,5,6
"428",2390,25,340,8,14,139,5,8
"429",1690,33,107,2,15,139,5,8
"430",2295,25,340,8,14,139,5,8
"431",2790,33,452,16,14,139,5,6
"432",2695,33,452,16,14,139,5,6
"433",2595,25,452,16,14,139,5,6
"434",1995,33,214,4,14,139,5,8
"435",2049,33,405,4,14,139,5,8
"436",1399,25,170,4,14,139,5,8
"437",2805,33,250,8,17,139,5,2
"438",2019,33,120,4,14,139,5,8
"439",3055,50,250,8,17,139,5,2
"440",2990,50,452,16,14,139,5,6
"441",2605,33,250,8,17,139,5,2
"442",2125,33,250,8,15,139,5,8
"443",1490,25,107,2,14,139,5,8
"444",1699,33,170,4,14,139,5,8
"445",2495,33,340,8,14,139,5,8
"446",2599,33,245,16,15,139,5,6
"447",2220,33,250,8,14,139,5,8
"448",1590,33,107,2,15,139,5,8
"449",1499,33,120,4,14,139,5,8
"450",2625,66,250,8,15,139,5,6
"451",1395,25,107,2,14,139,5,8
"452",2395,33,250,8,14,139,5,8
"453",2420,33,250,8,15,139,5,8
"454",2425,66,250,8,15,139,5,6
"455",2515,33,250,8,15,139,5,8
"456",2375,50,250,8,15,139,5,6
"457",3105,66,250,8,17,139,5,2
"458",2390,66,214,4,15,139,5,6
"459",2905,66,250,8,17,139,5,2
"460",2690,25,452,16,15,139,5,6
"461",2695,66,250,8,14,139,5,6
"462",1790,50,107,2,14,139,5,8
"463",3495,66,500,8,14,139,5,6
"464",2790,33,452,16,15,139,5,6
"465",1790,50,107,2,15,139,5,8
"466",1795,66,107,2,14,139,5,8
"467",2995,66,340,8,15,139,5,6
"468",1995,50,170,4,14,139,5,8
"469",2599,50,405,8,14,139,5,6
"470",3720,66,500,8,14,139,5,6
"471",2155,33,250,8,14,139,5,8
"472",1599,25,170,4,14,139,5,8
"473",2525,50,250,8,14,139,5,6
"474",2299,33,405,8,14,139,5,8
"475",1895,33,170,4,14,139,5,8
"476",1490,25,107,2,15,139,5,8
"477",2035,33,250,8,14,139,5,8
"478",1720,33,170,4,14,139,5,8
"479",2595,50,250,8,15,139,5,6
"480",2290,50,214,4,15,139,5,8
"481",2455,50,250,8,15,139,5,6
"482",1695,50,107,2,14,139,5,8
"483",2249,50,230,4,14,139,5,8
"484",1999,50,212,4,14,139,5,8
"485",2455,66,250,8,14,139,5,6
"486",2595,50,340,8,14,139,5,6
"487",2859,66,212,4,15,139,5,6
"488",2599,50,405,4,15,139,5,6
"489",2855,50,250,8,17,139,5,2
"490",2790,66,340,8,14,139,5,6
"491",3990,66,1000,16,14,139,5,7
"492",3595,50,452,8,14,139,5,6
"493",2195,50,214,4,14,139,5,8
"494",3599,66,405,8,14,139,5,6
"495",2690,50,340,8,15,139,5,6
"496",1999,33,213,8,14,139,5,8
"497",2990,50,452,16,15,139,5,6
"498",1890,66,107,2,14,139,5,8
"499",2190,33,214,4,14,139,5,8
"500",2720,50,250,8,15,139,5,6
"501",2145,50,170,4,14,139,5,8
"502",2295,66,214,4,14,139,5,8
"503",1990,25,214,4,15,139,5,8
"504",2695,66,340,8,14,139,5,6
"505",3149,66,230,8,14,139,5,6
"506",1775,33,170,4,14,139,5,8
"507",2490,33,340,8,15,139,5,6
"508",3599,33,340,16,17,139,5,2
"509",2690,50,340,8,14,139,5,6
"510",3195,66,540,8,15,139,5,6
"511",3695,66,452,8,14,139,5,6
"512",2645,50,250,8,15,139,5,6
"513",3090,66,452,16,15,139,5,6
"514",1890,66,107,2,15,139,5,8
"515",1999,33,170,4,14,139,5,8
"516",2935,50,250,8,17,139,5,2
"517",1990,25,214,4,14,139,5,8
"518",2290,50,214,4,14,139,5,8
"519",2390,66,214,4,14,139,5,8
"520",2025,50,170,4,14,139,5,8
"521",2095,33,214,4,14,139,5,8
"522",2590,33,340,8,14,139,5,6
"523",1499,25,170,4,14,139,5,8
"524",2325,33,250,8,15,139,5,8
"525",2099,66,120,4,14,139,5,8
"526",2999,66,245,16,15,139,5,6
"527",2790,66,340,8,15,139,5,6
"528",1590,33,107,2,14,139,5,8
"529",2499,50,170,4,14,139,5,8
"530",2575,50,250,8,15,139,5,6
"531",2390,25,340,8,15,139,5,8
"532",1495,33,107,2,14,139,5,8
"533",2895,50,452,16,14,139,5,6
"534",2335,66,250,8,14,139,5,6
"535",2090,33,214,4,14,139,5,8
"536",2815,66,250,8,15,139,5,6
"537",2195,50,250,4,14,176,6,8
"538",1899,33,170,4,14,176,6,8
"539",3599,66,450,8,14,176,6,6
"540",2095,33,250,4,14,176,6,8
"541",2690,33,452,16,15,176,6,5
"542",2795,66,250,8,15,176,6,6
"543",2799,33,240,4,14,176,6,8
"544",2698,66,245,8,14,176,6,6
"545",2390,33,340,8,14,176,6,8
"546",2695,66,340,8,14,176,6,6
"547",2095,33,214,4,14,176,6,8
"548",2599,50,450,8,15,176,6,6
"549",1825,50,170,4,14,176,6,8
"550",1790,50,107,2,15,176,6,8
"551",2720,66,340,8,14,176,6,6
"552",1295,25,107,2,14,176,6,8
"553",2990,50,452,16,14,176,6,6
"554",1890,66,107,2,15,176,6,8
"555",2595,33,452,16,14,176,6,5
"556",1490,33,107,2,14,176,6,8
"557",2075,50,250,8,14,176,6,8
"558",3699,33,345,16,17,176,6,2
"559",2690,33,452,16,14,176,6,5
"560",2245,66,250,4,15,176,6,8
"561",3999,66,345,16,17,176,6,2
"562",2195,50,214,4,14,176,6,8
"563",2999,50,240,4,14,176,6,6
"564",1895,33,212,8,14,176,6,8
"565",2295,50,212,8,15,176,6,8
"566",2190,33,214,4,14,176,6,8
"567",1690,33,107,2,14,176,6,8
"568",1390,25,107,2,15,176,6,8
"569",1890,25,214,4,14,176,6,8
"570",2290,25,340,8,14,176,6,8
"571",1720,33,170,4,14,176,6,8
"572",2325,66,250,8,15,176,6,6
"573",1699,33,170,4,14,176,6,8
"574",2045,50,250,4,15,176,6,8
"575",2299,66,120,4,14,176,6,8
"576",2755,66,250,8,17,176,6,2
"577",2145,66,250,4,14,176,6,8
"578",3090,66,452,16,14,176,6,6
"579",2790,66,340,8,14,176,6,6
"580",2099,33,120,4,14,176,6,8
"581",1998,66,130,4,14,176,6,8
"582",2590,33,340,8,14,176,6,6
"583",3365,50,540,8,17,176,6,2
"584",2545,66,250,8,15,176,6,6
"585",3265,33,540,8,17,176,6,2
"586",2250,66,170,4,14,176,6,8
"587",2890,33,452,16,14,176,6,5
"588",1599,25,170,4,14,176,6,8
"589",1825,33,170,4,15,176,6,8
"590",2125,66,170,4,15,176,6,8
"591",2245,33,250,8,15,176,6,8
"592",1945,33,250,4,15,176,6,8
"593",2890,33,452,16,15,176,6,5
"594",1599,66,130,4,14,176,6,8
"595",2295,66,214,4,14,176,6,8
"596",1520,25,80,4,14,176,6,8
"597",2745,33,540,8,14,176,6,6
"598",2899,66,340,8,15,176,6,6
"599",2390,66,214,4,14,176,6,8
"600",1675,25,120,4,14,176,6,8
"601",3149,66,230,8,14,176,6,6
"602",2590,25,452,16,14,176,6,5
"603",1999,50,212,4,14,176,6,8
"604",2590,25,452,16,15,176,6,5
"605",1449,25,120,4,14,176,6,8
"606",1490,33,107,2,15,176,6,8
"607",2299,66,245,8,14,176,6,6
"608",1595,33,107,2,14,176,6,8
"609",2495,33,250,8,15,176,6,8
"610",1890,66,107,2,14,176,6,8
"611",2995,66,452,16,14,176,6,6
"612",3609,66,527,4,15,176,6,6
"613",2790,66,340,8,15,176,6,6
"614",2295,33,340,8,14,176,6,8
"615",1799,33,120,4,14,176,6,8
"616",3990,66,1000,16,14,176,6,7
"617",2999,66,240,4,15,176,6,6
"618",2275,33,250,8,15,176,6,8
"619",2290,50,214,4,15,176,6,8
"620",1499,33,130,4,14,176,6,8
"621",2555,50,250,8,17,176,6,2
"622",2025,66,170,4,14,176,6,8
"623",2299,33,450,8,14,176,6,8
"624",1975,33,250,8,14,176,6,8
"625",2109,33,120,4,14,176,6,8
"626",3595,66,500,8,15,176,6,6
"627",2595,66,340,8,15,176,6,6
"628",2395,66,250,4,14,176,6,8
"629",1899,33,250,4,14,176,6,8
"630",2120,33,212,8,14,176,6,8
"631",1790,50,107,2,14,176,6,8
"632",1899,33,212,4,14,176,6,8
"633",1990,33,214,4,14,176,6,8
"634",1399,25,170,4,14,176,6,8
"635",1898,33,130,4,14,176,6,8
"636",1725,33,170,4,14,176,6,8
"637",2595,50,250,8,15,176,6,6
"638",1499,25,170,4,14,176,6,8
"639",1990,33,214,4,15,176,6,8
"640",2595,50,340,8,14,176,6,6
"641",1395,25,80,4,15,176,6,8
"642",2675,33,250,8,17,176,6,2
"643",1899,25,120,4,14,176,6,8
"644",2990,50,452,16,15,176,6,6
"645",1925,50,170,4,15,176,6,8
"646",4098,33,345,16,17,176,6,2
"647",2895,50,452,16,14,176,6,6
"648",2495,66,340,8,14,176,6,6
"649",1995,33,212,8,15,176,6,8
"650",1595,33,170,4,15,176,6,8
"651",2195,25,340,8,14,176,6,8
"652",2399,50,320,8,14,176,6,6
"653",2390,33,340,8,15,176,6,8
"654",2690,50,340,8,14,176,6,6
"655",1690,33,107,2,15,176,6,8
"656",2398,33,245,8,14,176,6,8
"657",2775,50,250,8,17,176,6,2
"658",1395,33,107,2,14,176,6,8
"659",2520,50,212,8,15,176,6,6
"660",2125,50,250,8,15,176,6,8
"661",4398,66,345,16,17,176,6,7
"662",2290,50,214,4,14,176,6,8
"663",2489,50,250,8,15,176,6,6
"664",2190,33,214,4,15,176,6,8
"665",2599,33,240,4,15,176,6,8
"666",3789,66,527,8,15,176,6,6
"667",2699,33,345,16,15,176,6,6
"668",2799,50,240,4,15,176,6,6
"669",2499,50,170,4,14,176,6,8
"670",2049,33,450,4,14,176,6,8
"671",2575,66,250,8,15,176,6,6
"672",2999,66,345,16,15,176,6,6
"673",3495,66,500,8,14,176,6,6
"674",2995,66,340,16,15,176,6,6
"675",2275,66,250,8,14,176,6,6
"676",2590,33,340,8,15,176,6,6
"677",2975,66,250,8,17,176,6,2
"678",1950,33,170,4,14,176,6,8
"679",2599,50,450,8,14,176,6,6
"680",1695,50,107,2,14,176,6,8
"681",2455,33,250,8,17,176,6,2
"682",1495,33,170,4,14,176,6,8
"683",2290,25,340,8,15,176,6,8
"684",3720,66,500,8,14,176,6,6
"685",1795,66,107,2,14,176,6,8
"686",2495,33,340,8,14,176,6,8
"687",3565,66,540,8,17,176,6,2
"688",2845,50,540,8,14,176,6,6
"689",2025,33,250,8,15,176,6,8
"690",3045,66,540,8,14,176,6,6
"691",2299,50,230,4,14,176,6,8
"692",2345,50,250,8,15,176,6,6
"693",2390,66,214,4,15,176,6,6
"694",2795,33,452,16,14,176,6,5
"695",1390,25,107,2,14,176,6,8
"696",1749,33,250,4,14,176,6,8
